T,H,Sample Position (deg),Temperature (K),Magnetic Field (Oe),Abs. Magnetic Field (Oe),Res. ch2 (ohm-cm),Res. Std.Dev. ch2,Field Polarity,Time Stamp (sec),Mean_res,Zeroed Res.,Pct. Mean Res. (%),L (cm),H (cm),W (cm)
10.0,9.0,360.0043945,9.9968212,-0.6410000000032596,89999.75,0.00045376338798209875,5.100015677494015e-06,0.0,19245302.759999998,0.00045084770788391066,2.9156800981880882e-06,0.6467106402454752,0.0786,0.0802,0.09172
10.0,9.0,358.9935913,9.998338,-0.6410000000032596,89999.75,0.00045381197051184226,7.27424891051404e-06,0.0,19245302.6575,0.00045084770788391066,2.964262627931603e-06,0.6574864585304435,0.0786,0.0802,0.09172
10.0,9.0,357.9827881,9.9979465,-0.6410000000032596,89999.75,0.0004539153510748138,6.6754209566678455e-06,0.0,19245302.752499998,0.00045084770788391066,3.0676431909031424e-06,0.6804167210478608,0.0786,0.0802,0.09172
10.0,9.0,357.0252075,9.997796274999999,-0.6410000000032596,89999.75,0.0004538897827470124,6.26683307952353e-06,0.0,19245302.685000002,0.00045084770788391066,3.04207486310175e-06,0.6747455537436285,0.0786,0.0802,0.09172
10.0,9.0,356.0144043,9.997585274999999,-0.6410000000032596,89999.75,0.000453842939804126,6.692771457350826e-06,0.0,19245302.7775,0.00045084770788391066,2.99523192021534e-06,0.6643555834571495,0.0786,0.0802,0.09172
10.0,9.0,355.0036011,9.997846825,-0.6410000000032596,89999.75,0.00045392043565191473,7.46411963606875e-06,0.0,19245302.985,0.00045084770788391066,3.072727768004078e-06,0.68154450256078,0.0786,0.0802,0.09172
10.0,9.0,353.9927979,9.997932675000001,-0.6410000000032596,89999.75,0.00045394677587336804,7.656996632682705e-06,0.0,19245302.825,0.00045084770788391066,3.0990679894573854e-06,0.687386879264199,0.0786,0.0802,0.09172
10.0,9.0,352.9819946,9.99814845,-0.6410000000032596,89999.75,0.0004539572380770333,6.342460846670971e-06,0.0,19245303.302500002,0.00045084770788391066,3.1095301931226412e-06,0.6897074419469641,0.0786,0.0802,0.09172
10.0,9.0,352.0243835,9.998183475000001,-0.6410000000032596,89999.75,0.00045393552172785063,6.296001023071585e-06,0.0,19245303.450000003,0.00045084770788391066,3.0878138439399726e-06,0.6848906604034588,0.0786,0.0802,0.09172
10.0,9.0,351.0135803,9.999664549999999,-0.6410000000032596,89999.75,0.0004538895367896793,7.53944581288493e-06,0.0,19245303.3325,0.00045084770788391066,3.041828905768636e-06,0.674690999327844,0.0786,0.0802,0.09172
10.0,9.0,350.0028076,9.999738950000001,-0.6410000000032596,89999.75,0.0004539152988308969,6.663832604962705e-06,0.0,19245303.37,0.00045084770788391066,3.0675909469862674e-06,0.6804051331178433,0.0786,0.0802,0.09172
10.0,9.0,348.9920044,9.99931005,-0.6410000000032596,89999.75,0.00045392477617381036,7.596844894448895e-06,0.0,19245303.9175,0.00045084770788391066,3.0770682898997067e-06,0.68250724936413,0.0786,0.0802,0.09172
10.0,9.0,347.9812012,9.9986539,-0.6410000000032596,89999.75,0.00045379415890994823,4.40758751465812e-06,0.0,19245303.932499997,0.00045084770788391066,2.9464510260375715e-06,0.6535357670702092,0.0786,0.0802,0.09172
10.0,9.0,347.0235901,9.999349125,-0.6410000000032596,89999.75,0.00045383848881119625,6.45234315340042e-06,0.0,19245303.85,0.00045084770788391066,2.990780927285589e-06,0.6633683336936669,0.0786,0.0802,0.09172
10.0,9.0,346.0127869,9.998750675,-0.6410000000032596,89999.75,0.00045367958865786975,6.36521518536339e-06,0.0,19245304.009999998,0.00045084770788391066,2.8318807739590975e-06,0.6281235824067408,0.0786,0.0802,0.09172
10.0,9.0,345.0019836,9.999933250000002,-0.6410000000032596,89999.75,0.0004537078434481179,5.441198192437055e-06,0.0,19245304.634999998,0.00045084770788391066,2.8601355642072493e-06,0.634390618870288,0.0786,0.0802,0.09172
10.0,9.0,343.9911804,9.999252550000001,-0.6410000000032596,89999.75,0.00045361642845608485,6.508452244018455e-06,0.0,19245305.1025,0.00045084770788391066,2.7687205721741923e-06,0.6141143724938519,0.0786,0.0802,0.09172
10.0,9.0,342.9804077,9.999032025,-0.6410000000032596,89999.75,0.00045358481914770544,5.49985572485593e-06,0.0,19245305.2525,0.00045084770788391066,2.737111263794779e-06,0.6071032891886324,0.0786,0.0802,0.09172
10.0,9.0,342.0227966,9.998824599999999,-0.6410000000032596,89999.75,0.0004534090168720347,6.817950342139304e-06,0.0,19245305.79,0.00045084770788391066,2.5613089881240322e-06,0.5681095729965532,0.0786,0.0802,0.09172
10.0,9.0,341.0119934,9.9995649,-0.6410000000032596,89999.75,0.0004533422324241326,8.33444115142525e-06,0.0,19245305.91,0.00045084770788391066,2.4945245402219337e-06,0.5532964893911032,0.0786,0.0802,0.09172
10.0,9.0,340.0011902,9.999833825,-0.6410000000032596,89999.75,0.0004530664037680973,7.59115442418594e-06,0.0,19245305.8625,0.00045084770788391066,2.2186958841866576e-06,0.49211648310252754,0.0786,0.0802,0.09172
10.0,9.0,338.990387,9.999123350000001,-0.6410000000032596,89999.75,0.00045287806154220236,7.642257691799035e-06,0.0,19245305.7975,0.00045084770788391066,2.030353658291704e-06,0.45034135092342586,0.0786,0.0802,0.09172
10.0,9.0,337.9795837,10.0001862,-0.6410000000032596,89999.75,0.000452778039410493,7.611685872260159e-06,0.0,19245305.8325,0.00045084770788391066,1.9303315265823675e-06,0.42815600319729497,0.0786,0.0802,0.09172
10.0,9.0,337.0220032,10.000615375,-0.6410000000032596,89999.75,0.0004524256297331121,7.292710353390265e-06,0.0,19245305.9075,0.00045084770788391066,1.5779218492014682e-06,0.34998999032457523,0.0786,0.0802,0.09172
10.0,9.0,336.0112,9.99992085,-0.6410000000032596,89999.75,0.000452053878924916,6.039962569018105e-06,0.0,19245305.96,0.00045084770788391066,1.2061710410053218e-06,0.26753402976507984,0.0786,0.0802,0.09172
