freqs (cycles/rot),amps,mag (ohm-cm),phase,amp_ratio,ACT_str,ACT,T,H,geo
1,(-2.1708351813363365e-07+6.214299150855613e-08j),2.258030230951484e-07,3.5800471040009745,0.10715749486952367,ACTRot11,11.0,15.0,3.0,perp
3,(-2.1364292771991768e-07-4.612216875408029e-08j),2.1856476160469654e-07,3.5800471040009745,0.10372249228233274,ACTRot11,11.0,15.0,3.0,perp
8,(2.6421435439364025e-08-1.7830903022514121e-07j),1.8025593613112107e-07,3.5800471040009745,0.0855425861284087,ACTRot11,11.0,15.0,3.0,perp
9,(1.3576888543223182e-07-1.0085450769621443e-07j),1.6912960111747517e-07,3.5800471040009745,0.08026245227192369,ACTRot11,11.0,15.0,3.0,perp
5,(-7.408433882497715e-08-4.58617462909393e-09j),7.422615615039324e-08,3.5800471040009745,0.035224900171148876,ACTRot11,11.0,15.0,3.0,perp
7,(3.3654681763412703e-08-4.172444032554625e-08j),5.36056575845932e-08,3.5800471040009745,0.025439198726661817,ACTRot11,11.0,15.0,3.0,perp
0,(1.1201747681381411e-18+0j),1.1201747681381411e-18,3.5800471040009745,5.315921829760117e-13,ACTRot11,11.0,15.0,3.0,perp
2,(-1.1192149278997855e-05-1.02455170227579e-06j),1.123894619944452e-05,3.2328802238060197,1.0,ACTRot11,11.0,15.0,7.0,perp
1,(1.5517759722120877e-06+5.376785489334147e-07j),1.6422870911987076e-06,3.2328802238060197,0.1461246510175373,ACTRot11,11.0,15.0,7.0,perp
4,(-1.358843103904723e-06-2.8161129924473296e-07j),1.3877173721229148e-06,3.2328802238060197,0.12347397589566735,ACTRot11,11.0,15.0,7.0,perp
5,(-8.372443410856973e-07-6.416248357678418e-07j),1.054827244886163e-06,3.2328802238060197,0.09385463958696567,ACTRot11,11.0,15.0,7.0,perp
3,(-8.591407968551928e-07+5.849490247120397e-07j),1.0393691694160175e-06,3.2328802238060197,0.09247923701844821,ACTRot11,11.0,15.0,7.0,perp
7,(4.975803309242607e-07-7.904205322926973e-07j),9.339972181931635e-07,3.2328802238060197,0.08310362925656908,ACTRot11,11.0,15.0,7.0,perp
6,(3.4592446690704975e-07-5.420529252127881e-07j),6.4302807911993e-07,3.2328802238060197,0.05721426793125066,ACTRot11,11.0,15.0,7.0,perp
8,(4.499582228998036e-07-3.678151465968197e-07j),5.811629585763269e-07,3.2328802238060197,0.051709737573532526,ACTRot11,11.0,15.0,7.0,perp
9,(4.2877240368569506e-07+3.030641987661764e-07j),5.250654080552185e-07,3.2328802238060197,0.046718384334037445,ACTRot11,11.0,15.0,7.0,perp
0,(-2.4579374408786547e-19+0j),2.4579374408786547e-19,3.2328802238060197,2.1869821220428452e-14,ACTRot11,11.0,15.0,7.0,perp
2,(-1.1957178784412875e-05-1.0425476211950272e-06j),1.200254264832551e-05,3.22856281351968,1.0,ACTRot11,11.0,15.0,9.0,perp
1,(2.370553055596108e-06+1.0306526807465708e-06j),2.584911359742562e-06,3.22856281351968,0.21536364714381465,ACTRot11,11.0,15.0,9.0,perp
6,(1.9312989146317986e-06-1.7058726457821994e-06j),2.57680363654003e-06,3.22856281351968,0.2146881466736153,ACTRot11,11.0,15.0,9.0,perp
5,(-4.873306604603841e-07-2.3761105515367417e-06j),2.4255705567451536e-06,3.22856281351968,0.20208805982318653,ACTRot11,11.0,15.0,9.0,perp
3,(-1.4458505366444048e-06+5.513134388907709e-07j),1.547394675645642e-06,3.22856281351968,0.12892223931081145,ACTRot11,11.0,15.0,9.0,perp
7,(1.4159410039374713e-06-3.610420638462304e-07j),1.461246145759776e-06,3.22856281351968,0.1217447159801291,ACTRot11,11.0,15.0,9.0,perp
