,Temperature (K),Sample Position (deg),Res. (ohm-cm),ACT,ACT_str,T,H,geo,Delta Res. Mean (ohm-cm),Delta Res./R0 Mean (ohm-cm),Delta Res./R0 Mean (%),Delta Res. 0deg (ohm-cm),Delta Res./R0 0deg (ohm-cm),Delta Res./R0 0deg (%),Sample Position (rads),Res. (uohm-cm),Delta Res. Mean (uohm-cm),Delta Res./R0 Mean (uohm-cm),Delta Res. 0deg (uohm-cm),Delta Res./R0 0deg (uohm-cm)
27,10.00072765,53.9979973,0.0003945722166795,11,ACTRot11,10.0,0.5,perp,-1.3288423699332318e-07,-0.0003366671387949383,-13.288423699332318,-1.497283110999748e-07,-0.00037932603697405384,-14.972831109997479,0.9424428423680082,394.5722166795,-0.1328842369933232,-336.6671387949383,-0.14972831109997478,-379.32603697405386
28,10.0007036,56.0195999,0.0003946543380637,11,ACTRot11,10.0,0.5,perp,-5.076285279333268e-08,-0.00012860956870195715,-5.076285279333268,-6.760692689998429e-08,-0.0001712773453768685,-6.760692689998429,0.9777264639048863,394.6543380637,-0.05076285279333268,-128.60956870195716,-0.0676069268999843,-171.2773453768685
29,10.000426525,57.987999,0.0003947732348052,11,ACTRot11,10.0,0.5,perp,6.813388870664013e-08,0.000172619731917412,6.8133888706640136,5.128981459998853e-08,0.0001299391008047702,5.128981459998853,1.0120815091931794,394.7732348052,0.06813388870664014,172.619731917412,0.05128981459998853,129.9391008047702
30,10.0004642,60.0095978,0.0003946823980002,11,ACTRot11,10.0,0.5,perp,-2.2702916293334922e-08,-5.751867974500313e-05,-2.2702916293334923,-3.954699039998653e-08,-0.00010018949010024844,-3.9546990399986526,1.0473650644075456,394.6823980002,-0.022702916293334922,-57.51867974500313,-0.03954699039998653,-100.18949010024845
31,10.000206,61.9780006,0.0003946690259649,11,ACTRot11,10.0,0.5,perp,-3.607495159335065e-08,-9.139722671327454e-05,-3.607495159335065,-5.291902570000225e-08,-0.00013406659136031183,-5.291902570000225,1.0817201742730211,394.6690259649,-0.03607495159335065,-91.39722671327455,-0.05291902570000225,-134.06659136031183
32,10.0005219,63.9995995,0.0003947836191984,11,ACTRot11,10.0,0.5,perp,7.851828190668514e-08,0.00019892897691052905,7.851828190668514,6.167420780003353e-08,0.00015624722309650723,6.167420780003353,1.1170037312327168,394.7836191984,0.07851828190668514,198.92897691052906,0.061674207800033534,156.24722309650724
33,10.00031355,66.0212021,0.000394731287427,11,ACTRot11,10.0,0.5,perp,2.6186510506667413e-08,6.634449477816001e-05,2.6186510506667413,9.342436400015808e-09,2.3668398776861245e-05,0.9342436400015808,1.1522873527695945,394.731287427,0.026186510506667413,66.34449477816001,0.009342436400015808,23.668398776861245
34,10.00011875,67.9896011,0.0003948956157375,11,ACTRot11,10.0,0.5,perp,1.9051482100663607e-07,0.00048267635904442686,19.05148210066361,1.7367074689998447e-07,0.00043998249680321245,17.367074689998447,1.1866423963125583,394.89561573749995,0.19051482100663608,482.6763590444269,0.17367074689998446,439.9824968032124
35,9.999775425,70.0112,0.0003946523322292,11,ACTRot11,10.0,0.5,perp,-5.2768687293348014e-08,-0.0001336914247391805,-5.276868729334802,-6.961276139999962e-08,-0.00017635898455470317,-6.961276139999962,1.221925953272254,394.6523322292,-0.052768687293348014,-133.6914247391805,-0.06961276139999961,-176.35898455470317
36,10.00025415,71.979599,0.0003945908029716,11,ACTRot11,10.0,0.5,perp,-1.1429794489331829e-07,-0.0002895780789959945,-11.429794489331828,-1.311420189999699e-07,-0.0003322389866190311,-13.114201899996988,1.2562809968152178,394.5908029716,-0.11429794489331829,-289.57807899599453,-0.13114201899996988,-332.2389866190311
